Libraries	Frequency
.NET Framework	12
NumPy	0
.NET Core	20
Pandas	0
TensorFlow	0
React Native	2
Flutter	0
Keras	0
PyTorch	0
Cordova	1
Apache Spark	1
Hadoop	2
Tableau	6
Power BI	17
Power Query	1
